country_name,ladder_score,standard_error_of_ladder_score,upperwhisker,lowerwhisker,logged_gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,ladder_score_in_dystopia,explained_by_log_gdp_per_capita,explained_by_social_support,explained_by_healthy_life_expectancy,explained_by_freedom_to_make_life_choices,explained_by_generosity,explained_by_perceptions_of_corruption,dystopia_+_residual,is_saarc,region
Bosnia and Herzegovina,5.632500171661377,0.07267041504383087,5.7749342918396,5.490066051483154,9.615763664245605,0.8803004622459412,67.27503204345703,0.7461434006690979,0.2064070999622345,0.9175378084182739,1.777825117111206,1.4665228128433228,1.3614246845245361,0.42899391055107117,0.4850519001483917,0.24717839062213898,0.008274044841527939,1.6350252628326416,0,Central and Eastern Europe
Colombia,5.63040018081665,0.059627946466207504,5.7472710609436035,5.513529300689697,9.584429740905762,0.8216689825057983,69.34968566894531,0.8042616844177246,-0.10431458801031113,0.83354651927948,1.777825117111206,1.4552850723266602,1.2133201360702515,0.4855212867259979,0.5623914003372192,0.0804615467786789,0.06843424588441849,1.7649869918823242,0,Latin America and Caribbean
Dominican Republic,5.568900108337402,0.0727870836853981,5.711562633514404,5.4262375831604,9.810591697692871,0.8270636200904846,64.39896392822266,0.8500227928161621,-0.09879419952630997,0.6567947268486023,1.777825117111206,1.5363973379135132,1.2269470691680908,0.35063061118125916,0.6232869029045105,0.08342350274324417,0.19503574073314667,1.553220272064209,0,Latin America and Caribbean
Ecuador,5.558899879455566,0.06260566413402557,5.681606769561768,5.436192989349365,9.270211219787598,0.8057536482810974,69.0002212524414,0.8022295236587524,-0.10767285525798798,0.8325657844543457,1.777825117111206,1.342591404914856,1.1731176376342773,0.4759995639324188,0.5596871376037598,0.07865968346595764,0.06913671642541885,1.8597559928894043,0,Latin America and Caribbean
Peru,5.525899887084961,0.05799386277794838,5.639567852020264,5.412231922149658,9.401518821716309,0.7979649901390076,69.84983825683594,0.7943701148033142,-0.11885213851928711,0.8917118310928345,1.777825117111206,1.3896845579147339,1.1534433364868164,0.49914878606796265,0.5492284297943115,0.07266146689653397,0.02677234448492527,1.835005760192871,0,Latin America and Caribbean
Philippines,5.522900104522705,0.07747379690408707,5.67474889755249,5.37105131149292,8.978732109069824,0.7799321413040161,62.03751754760742,0.9185475707054138,-0.059889622032642365,0.7320905923843384,1.777825117111206,1.2380532026290894,1.1078919172286987,0.2862890660762787,0.714474618434906,0.10429764539003372,0.14110378921031952,1.9308080673217773,0,Southeastern Asia
Bulgaria,5.466100215911865,0.05903218314051628,5.581803321838379,5.350397109985352,10.086685180664062,0.9182446599006653,66.49977111816406,0.8005364537239075,-0.05682698264718056,0.9109797477722168,1.777825117111206,1.6354175806045532,1.4572725296020508,0.4078706204891205,0.5574341416358948,0.10594089329242706,0.012971367686986923,1.2891979217529297,0,Central and Eastern Europe
Nepal,5.360300064086914,0.074702188372612,5.506716251373291,5.213883876800537,8.256011962890625,0.7478566765785217,61.84700012207031,0.8079494833946228,0.14593517780303955,0.7833759188652039,1.777825117111206,0.9788516759872437,1.0268685817718506,0.2810980975627899,0.5672988295555115,0.2147323489189148,0.10436979681253433,2.1870367527008057,1,Southern Asia
Armenia,5.341700077056885,0.06570153683423996,5.470475196838379,5.212924957275391,9.614712715148926,0.7902310490608215,67.78897094726562,0.7956050634384155,-0.15531496703624725,0.7054339051246643,1.777825117111206,1.4661458730697632,1.1339071989059448,0.442997008562088,0.5508717894554138,0.0530974417924881,0.16019709408283234,1.5344746112823486,0,Central and Eastern Europe
Tajikistan,5.329800128936768,0.062441058456897736,5.452184677124023,5.207415580749512,8.236533164978027,0.8355719447135925,62.225528717041016,0.8320024609565735,-0.05975857377052307,0.5215774178504944,1.777825117111206,0.971865713596344,1.2484393119812012,0.29141175746917725,0.5993067622184753,0.10436795651912689,0.29188746213912964,1.8225278854370117,0,Central and Eastern Europe
